pv,tipo,empresa_informante,procedencia,procdet,geojson
PVMME-001,CHIMENEA DE QUEMA,MISAHAR ARGENTINA S.A.,YACIMIENTO,Yacimiento Mata Magallanes Este,"{""type"":""Point"",""coordinates"":[-69.9243634678372,-46.0235083919416]}"
BATANT04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT ACS-GP,"{""type"":""Point"",""coordinates"":[-69.7054285655945,-39.0208719177194]}"
Complejo Gas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Complejo Gas,"{""type"":""Point"",""coordinates"":[-68.0962599996533,-38.2080099995344]}"
Estacion Motocompresora 1,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 1,"{""type"":""Point"",""coordinates"":[-68.0759599995274,-38.2252000005231]}"
PV-1,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Centro Este,"{""type"":""Point"",""coordinates"":[-68.0935655,-37.7367234]}"
FQ-BAT-RN.X-1004,FOSA DE QUEMA,AMERICAS PETROGAS ARGENTINA S.A.,PLANTA COMPRESORA,Bateria BAT-RN.X-1004,"{""type"":""Point"",""coordinates"":[-67.4577440382568,-38.2169969624397]}"
Antorcha EPF BdC,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,Inst. de ProducciÃ³n Temprana Bajo del Choique,"{""type"":""Point"",""coordinates"":[-69.141583,-37.713236]}"
Venteo de Lomita de la Costa,CHIMENEA DE QUEMA,TECPETROL S.A.,YACIMIENTO,Estación Compresora Lomita de la Costa,"{""type"":""Point"",""coordinates"":[-67.632226,-46.252748]}"
Estacion Motocompresora 2,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 2,"{""type"":""Point"",""coordinates"":[-68.1130099994569,-38.1959899999609]}"
Estacion Motocompresora 3,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 3,"{""type"":""Point"",""coordinates"":[-68.1552700007554,-38.1557500006266]}"
Estacion Motocompresora 4,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 4,"{""type"":""Point"",""coordinates"":[-68.2044199996301,-38.1248500002149]}"
BATANT06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT BZ,"{""type"":""Point"",""coordinates"":[-69.8070414554632,-38.9826696355759]}"
Bateria 2 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 2 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.2031000004889,-38.1285200006321]}"
BATGUA03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT GUA 03,"{""type"":""Point"",""coordinates"":[-69.2665372199938,-38.8597508567613]}"
Estacion Motocompresora 5,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 5,"{""type"":""Point"",""coordinates"":[-68.3458900009002,-37.9915900001803]}"
Bateria 1 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0828199995266,-38.2121600003916]}"
Bateria 3 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 3 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.1332199992606,-38.1511000006245]}"
Bateria 4 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 4 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0650200000706,-38.2313599996597]}"
Bateria 5 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 5 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0919100001521,-38.2277200000069]}"
Bateria 6 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 6 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.1070900000613,-38.1803399993733]}"
Bateria 4 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 4 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1801499995042,-38.1422100002089]}"
Antorcha PF LTE,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,Inst. de ProducciÃ³n Temprana LTE (LTIS-Este),"{""type"":""Point"",""coordinates"":[-69.267008,-37.713392]}"
Antorcha FV,CHIMENEA DE QUEMA,PETROFARO S.A.,YACIMIENTO,Planta Faro Vírgenes,"{""type"":""Point"",""coordinates"":[-68.4200830894487,-52.3881350078909]}"
Bateria 6 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 6 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.2225500002201,-38.1112500002741]}"
Bateria 7 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 7 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1446899994566,-38.1752799998377]}"
BATNBA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT NBA 01,"{""type"":""Point"",""coordinates"":[-69.0177115212701,-38.8621829520746]}"
BATPES01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT PES 01,"{""type"":""Point"",""coordinates"":[-69.0541921003965,-38.8563732758573]}"
PV-2,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Centro Este,"{""type"":""Point"",""coordinates"":[-68.1018893,-37.7397963]}"
PV-3,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Meseta Alta,"{""type"":""Point"",""coordinates"":[-68.0925471,-37.8098715]}"
Sin Dato120,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,SEÃAL PICADA,"{""type"":""Point"",""coordinates"":[-68.152584132152,-37.666808594541]}"
Antorcha USP ALL,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,USP Aguada Los Loros,"{""type"":""Point"",""coordinates"":[-69.425308,-37.726953]}"
Antorcha EPF PdY,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,PF Pampa de las Yeguas,"{""type"":""Point"",""coordinates"":[-69.338403,-37.802164]}"
PV-ESTANCIA DOS LAGUNAS,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CAMPO BREMEN,"{""type"":""Point"",""coordinates"":[-69.93701861,-50.77043063]}"
BATPTZ02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT PTZ 03,"{""type"":""Point"",""coordinates"":[-69.4696163322501,-38.9443456700375]}"
BATRCO02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BATRCO02,"{""type"":""Point"",""coordinates"":[-69.2290513397392,-39.0910246616184]}"
BATRCO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BATRCO01,"{""type"":""Point"",""coordinates"":[-69.0615418632527,-38.8254428601256]}"
PCGGUA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PCGGUA01,"{""type"":""Point"",""coordinates"":[-69.2304581833724,-38.8654153359338]}"
PTGRCO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PTGRCO01,"{""type"":""Point"",""coordinates"":[-69.2440396200468,-39.058675938594]}"
PTGPTZ01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PTGPTZ01,"{""type"":""Point"",""coordinates"":[-69.5100280484711,-38.9970589171714]}"
Bat CP3,CHIMENEA DE QUEMA,PETROLERA LF COMPANY S.R.L.,YACIMIENTO,CaÃ±adon Piedras 3,"{""type"":""Point"",""coordinates"":[-68.4651666143507,-53.0702222001509]}"
Bat CP4,CHIMENEA DE QUEMA,PETROLERA LF COMPANY S.R.L.,YACIMIENTO,CaÃ±adon Piedras 4,"{""type"":""Point"",""coordinates"":[-68.5220833423041,-53.0110555550322]}"
Bateria 8 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 8 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1655600001633,-38.1767300005143]}"
Bat CP6,FOSA DE QUEMA,PETROLERA LF COMPANY S.R.L.,PLANTA COMPRESORA,CaÃ±adon Piedras 6,"{""type"":""Point"",""coordinates"":[-68.481499970088,-53.0213611425617]}"
BATESA02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,EFO,"{""type"":""Point"",""coordinates"":[-67.8751753575706,-39.0094977847855]}"
PV-OCEANO,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,OCEANO,"{""type"":""Point"",""coordinates"":[-68.81681002,-51.83615188]}"
Bateria 1 Entre Lomas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Entre Lomas,"{""type"":""Point"",""coordinates"":[-68.3231100003953,-38.019710000341]}"
Bateria 1 Lomas de Ocampo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Lomas de Ocampo,"{""type"":""Point"",""coordinates"":[-68.3745100004952,-37.9614100001466]}"
Bateria 1 El Caracol,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 El Caracol,"{""type"":""Point"",""coordinates"":[-68.4265000007208,-37.9000199997201]}"
Bateria 1 Borde Mocho,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Borde Mocho,"{""type"":""Point"",""coordinates"":[-68.2770600001465,-38.1461400000746]}"
Estacion Motocompresora 7,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 7,"{""type"":""Point"",""coordinates"":[-68.2013100000886,-38.2598300003434]}"
Estacion Motocompresora 8,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 8,"{""type"":""Point"",""coordinates"":[-68.5182800005808,-38.2245399999335]}"
